date_time_hourly,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Batteries,Imports,Other,Natural Gas,Large Hydro,tempC,uvIndex,WindGustKmph,cloudcover,humidity,precipMM
2020-07-21 12:00:00,11016.083333333334,779.25,826.4166666666666,335.25,179.41666666666666,311.6666666666667,16.75,1099.9166666666667,1.8333333333333333,4078.75,0.0,8467.25,1868.9166666666667,35,8,12,0,13,0.0
2020-07-21 13:00:00,10997.833333333334,1140.5,825.5833333333334,350.0,183.25,317.75,15.333333333333334,1099.9166666666667,-8.166666666666666,3411.8333333333335,0.0,9915.666666666666,2507.1666666666665,36,8,16,0,12,0.0
2020-07-21 14:00:00,10464.583333333334,1444.25,822.3333333333334,315.75,189.58333333333334,326.0833333333333,15.583333333333334,1099.3333333333333,-7.916666666666667,3104.0833333333335,0.0,11317.666666666666,3138.25,37,8,21,0,11,0.0
2020-07-21 15:00:00,9492.916666666666,1865.5833333333333,825.6666666666666,316.4166666666667,189.0,339.0833333333333,15.75,1099.5833333333333,-7.333333333333333,3164.3333333333335,0.0,13265.666666666666,3102.25,38,8,26,0,10,0.0
2020-07-21 16:00:00,8930.833333333334,2131.25,826.3333333333334,314.0,188.91666666666666,354.8333333333333,16.916666666666668,1100.4166666666667,10.916666666666666,2974.6666666666665,0.0,14367.333333333334,3667.75,38,8,30,0,11,0.0
2020-07-21 17:00:00,7495.75,2883.1666666666665,828.4166666666666,299.5833333333333,189.91666666666666,368.5833333333333,16.833333333333332,1100.4166666666667,-4.75,3398.5,0.0,15522.083333333334,3877.25,38,8,35,1,13,0.0
2020-07-21 18:00:00,5012.916666666667,3181.0,835.4166666666666,297.8333333333333,204.91666666666666,370.8333333333333,15.666666666666666,1099.75,22.916666666666668,4435.666666666667,0.0,16541.0,4162.583333333333,37,8,40,1,14,0.0
2020-07-21 19:00:00,1330.0833333333333,3356.9166666666665,837.5833333333334,296.8333333333333,220.83333333333334,400.1666666666667,15.833333333333334,1099.3333333333333,14.833333333333334,5536.416666666667,0.0,17698.75,4537.666666666667,36,8,39,1,17,0.0
2020-07-21 20:00:00,-11.833333333333334,3713.5833333333335,841.4166666666666,296.5833333333333,224.16666666666666,364.25,15.333333333333334,1100.5,10.75,6761.583333333333,0.0,16358.0,4350.166666666667,36,8,37,2,20,0.0
2020-07-21 21:00:00,-38.0,3770.6666666666665,845.0,298.9166666666667,220.41666666666666,347.6666666666667,15.416666666666666,1101.6666666666667,0.0,7114.5,0.0,15104.333333333334,3948.1666666666665,35,8,36,2,22,0.0
2020-07-21 22:00:00,-36.5,3445.6666666666665,846.25,302.1666666666667,217.08333333333334,324.75,17.333333333333332,1104.3333333333333,-28.0,8259.166666666666,0.0,12431.25,3431.0833333333335,33,8,35,3,25,0.0
2020-07-21 23:00:00,-36.75,3439.5,846.4166666666666,300.25,217.66666666666666,310.5,16.833333333333332,1103.75,-23.333333333333332,8884.333333333334,0.0,9823.166666666666,2930.8333333333335,30,8,34,3,28,0.0
2020-07-22 00:00:00,-36.0,3128.0,847.0,299.5833333333333,217.58333333333334,295.1666666666667,15.916666666666666,1102.5833333333333,-6.666666666666667,8753.083333333334,0.0,8813.583333333334,2399.6666666666665,28,7,33,3,31,0.0
2020-07-22 01:00:00,-35.916666666666664,2826.0833333333335,848.3333333333334,299.4166666666667,217.0,295.6666666666667,17.416666666666668,1102.6666666666667,-34.666666666666664,9118.5,0.0,7817.333333333333,1944.5,26,7,30,2,31,0.0
2020-07-22 02:00:00,-35.333333333333336,2424.5833333333335,848.1666666666666,306.75,218.25,293.6666666666667,16.5,1102.5833333333333,-8.833333333333334,9414.416666666666,0.0,7089.0,1726.6666666666667,23,7,27,1,32,0.0
2020-07-22 03:00:00,-36.0,2087.25,848.9166666666666,311.1666666666667,218.08333333333334,294.5,15.666666666666666,1101.9166666666667,-1.75,9466.916666666666,0.0,6797.583333333333,1698.0833333333333,21,7,24,0,32,0.0
2020-07-22 04:00:00,-37.833333333333336,1697.4166666666667,851.9166666666666,308.0,217.91666666666666,300.9166666666667,15.166666666666666,1101.1666666666667,-8.5,9612.833333333334,0.0,6866.5,1879.4166666666667,21,7,22,1,32,0.0
2020-07-22 05:00:00,-40.833333333333336,1536.4166666666667,851.8333333333334,302.9166666666667,212.83333333333334,302.8333333333333,14.083333333333334,1102.6666666666667,5.333333333333333,9745.083333333334,0.0,7333.916666666667,2155.9166666666665,21,7,20,1,31,0.0
2020-07-22 06:00:00,806.75,1253.5,851.1666666666666,309.3333333333333,213.16666666666666,295.5833333333333,14.166666666666666,1102.8333333333333,25.25,9396.416666666666,0.0,7773.416666666667,2344.25,20,7,18,2,31,0.0
2020-07-22 07:00:00,5049.5,994.0,846.9166666666666,310.8333333333333,210.5,292.0,14.583333333333334,1102.6666666666667,-10.416666666666666,7946.666666666667,0.0,6650.25,1785.1666666666667,22,7,18,2,28,0.0
2020-07-22 08:00:00,8988.166666666666,740.25,844.5,311.25,206.75,289.75,11.333333333333334,1101.5,-9.166666666666666,6685.833333333333,0.0,5361.833333333333,1556.4166666666667,24,7,18,3,24,0.0
2020-07-22 09:00:00,10554.0,685.1666666666666,843.0833333333334,299.6666666666667,204.08333333333334,290.9166666666667,11.083333333333334,1101.75,-0.16666666666666666,5521.0,0.0,5331.083333333333,1508.3333333333333,26,7,18,3,21,0.0
2020-07-22 10:00:00,11314.75,791.6666666666666,838.9166666666666,286.75,203.0,290.75,10.083333333333334,1102.75,-12.416666666666666,4991.25,0.0,5397.916666666667,1344.75,28,7,23,2,17,0.0
2020-07-22 11:00:00,11675.333333333334,947.5833333333334,836.5833333333334,315.1666666666667,193.25,292.5833333333333,10.166666666666666,1103.0,-20.666666666666668,4510.333333333333,0.0,5257.583333333333,1621.0833333333333,30,7,28,1,14,0.0
2020-07-22 12:00:00,11776.5,995.0833333333334,832.9166666666666,315.5833333333333,209.08333333333334,302.9166666666667,9.416666666666666,1103.1666666666667,-7.166666666666667,4250.166666666667,0.0,5698.416666666667,1841.5833333333333,32,7,34,0,10,0.0
2020-07-22 13:00:00,11738.333333333334,1393.4166666666667,831.6666666666666,316.3333333333333,211.58333333333334,306.0833333333333,9.333333333333334,1103.4166666666667,-8.25,4551.416666666667,0.0,6131.416666666667,1978.6666666666667,33,7,37,0,10,0.0
2020-07-22 14:00:00,11530.583333333334,2094.3333333333335,832.75,310.3333333333333,212.41666666666666,319.4166666666667,9.666666666666666,1103.5833333333333,-8.833333333333334,4534.916666666667,0.0,6703.083333333333,2244.25,33,7,40,0,10,0.0
2020-07-22 15:00:00,11071.75,2503.4166666666665,839.1666666666666,287.25,213.25,326.1666666666667,9.916666666666666,1102.0833333333333,-2.3333333333333335,4406.333333333333,0.0,8114.833333333333,2500.4166666666665,34,7,44,0,11,0.0
2020-07-22 16:00:00,10360.166666666666,2703.3333333333335,860.3333333333334,297.5833333333333,216.25,330.0,9.75,1102.4166666666667,-2.6666666666666665,4682.083333333333,0.0,9376.75,2706.6666666666665,33,7,44,0,13,0.0
2020-07-22 17:00:00,8819.833333333334,2602.5833333333335,846.0,298.3333333333333,215.58333333333334,388.3333333333333,10.166666666666666,1101.25,0.9166666666666666,5256.083333333333,0.0,10884.916666666666,3243.25,33,7,44,0,15,0.0
